a	'a
juts out	"juts-'out
jutted out	"jut-ted-'out
jutting out	"jut-ting-'out
juvenile	'ju-ve-nile
juvenile delinquency	"ju-ve-nile-de-'lin-quen-cy
juvenile delinquent	"ju-ve-nile-de-'lin-quent
juvenile delinquents	"ju-ve-nile-de-'lin-quents
juveniles	'ju-ve-niles
juxtapose	"jux-ta-'pose
juxtaposed	"jux-ta-'posed
juxtaposes	"jux-ta-'pos-es
juxtaposing	"jux-ta-'pos-ing
juxtaposition	"jux-ta-po-'si-tion
k	'k
K	'K
kaffir	'kaf-fir
kaffirs	'kaf-firs
Kaiser	'Kai-ser
kakemono	"ka-ke-'mo-no
kakemonos	"ka-ke-'mo-nos
kale	'kale
kaleidoscope	ka-'lei-do-scope
kaleidoscopes	ka-'lei-do-scopes
kaleidoscopic	ka-"lei-do-'scop-ic
kaleidoscopically	ka-"lei-do-'scop-i-cal-ly
kales	'kales
kampong	kam-'pong
kampongs	kam-'pongs
kangaroo	"kan-ga-'roo
kangaroo court	"kan-ga-roo-'court
kangaroo courts	"kan-ga-roo-'courts
kangaroos	"kan-ga-'roos
kaolin	'ka-o-lin
kapok	'ka-pok
kappa	'kap-pa
kappas	'kap-pas
kaput	ka-'put
karate	ka-'ra-te
karma	'kar-ma
Kashmir	"Kash-'mir
Kashmiri	Kash-'mir-i
Kashmiris	Kash-'mir-is
katydid	'ka-ty-did
katydids	'ka-ty-dids
kava	'ka-va
kayak	'kay-ak
kayaks	'kay-aks
kazoo	ka-'zoo
kazoos	ka-'zoos
kebab	ke-'bab
kebabs	ke-'babs
kedgeree	"ked-ger-'ee
keel	'keel
keeled over	"keeled-'o-ver
keelhaul	'keel-haul
keelhauled	'keel-hauled
keelhauling	'keel-haul-ing
keelhauls	'keel-hauls
keeling over	"keel-ing-'o-ver
keel over	"keel-'o-ver
keels	'keels
keels over	"keels-'o-ver
keen	'keen
keened	'keened
keener	'keen-er
keenest	'keen-est
keening	'keen-ing
keenly	'keen-ly
keenness	'keen-ness
keens	'keens
keep	'keep
keep at	'keep-at
keep back	"keep-'back
keep down	"keep-'down
keeper	'keep-er
keepers	'keep-ers
keep from	'keep-from
keep in	"keep-'in
keeping	'keep-ing
keeping at	'keep-ing-at
keeping back	"keep-ing-'back
keeping down	"keep-ing-'down
keeping from	'keep-ing-from
keeping in	"keep-ing-'in
keeping in with	"keep-ing-'in-with
keeping off	'keep-ing-off
keeping on	"keep-ing-'on
keeping on at	"keep-ing-'on-at
keeping out	"keep-ing-'out
keeping out of	"keep-ing-'out-of
keeping together	"keep-ing-to-'geth-er
keeping under	"keep-ing-'un-der
keeping up	"keep-ing-'up
keep in with	"keep-'in-with
keep off	'keep-off
keep on	"keep-'on
keep on at	"keep-'on-at
keep out	"keep-'out
keep out of	"keep-'out-of
keeps	'keeps
keepsake	'keep-sake
keepsakes	'keep-sakes
keeps at	'keeps-at
keeps back	"keeps-'back
keeps down	"keeps-'down
keeps from	'keeps-from
keeps in	"keeps-'in
keeps in with	"keeps-'in-with
keeps off	'keeps-off
keeps on	"keeps-'on
keeps on at	"keeps-'on-at
keeps out	"keeps-'out
keeps out of	"keeps-'out-of
keeps together	"keeps-to-'geth-er
keeps under	"keeps-'un-der
keeps up	"keeps-'up
keep together	"keep-to-'geth-er
keep under	"keep-'un-der
keep up	"keep-'up
keg	'keg
kegs	'kegs
Kelly	'Kel-ly
kelp	'kelp
kelvin	'kel-vin
Kelvin	'Kel-vin
kelvins	'kel-vins
ken	'ken
kenned	'kenned
kennel	'ken-nel
kennelled	'ken-nelled
kennelling	'ken-nel-ling
kennels	'ken-nels
kenning	'ken-ning
kens	'kens
Kenya	'Ken-ya
Kenyan	'Ken-yan
Kenyans	'Ken-yans
kepi	'kep-i
kepis	'kep-is
kept	'kept
kept at	'kept-at
kept back	"kept-'back
kept down	"kept-'down
kept from	'kept-from
kept in	"kept-'in
kept in with	"kept-'in-with
kept off	'kept-off
kept on	"kept-'on
kept on at	"kept-'on-at
kept out	"kept-'out
kept out of	"kept-'out-of
kept together	"kept-to-'geth-er
kept under	"kept-'un-der
kept up	"kept-'up
kept woman	"kept-'wom-an
kept women	"kept-'wom-en
kerb	'kerb
kerbs	'kerbs
kerbstone	'kerb-stone
kerbstones	'kerb-stones
kerchief	'ker-chief
kerchiefs	'ker-chiefs
kerfuffle	ker-'fuf-fle
kerfuffles	ker-'fuf-fles
kernel	'ker-nel
kernels	'ker-nels
kerosene	'ker-o-sene
kersey	'ker-sey
kestrel	'kes-trel
kestrels	'kes-trels
ketch	'ketch
ketches	'ketch-es
ketchup	'ketch-up
kettle	'ket-tle
kettledrum	'ket-tle-drum
kettledrums	'ket-tle-drums
kettles	'ket-tles
key	'key
keyboard	'key-board
keyboarded	'key-board-ed
keyboarder	'key-"board-er
keyboarders	'key-"board-ers
keyboarding	'key-board-ing
keyboards	'key-boards
keyed	'keyed
keyed up	"keyed-'up
keyhole	'key-hole
keyholes	'key-holes
keying	'key-ing
keying up	"key-ing-'up
keyless	'key-less
key money	'key-"mon-ey
keynote	'key-note
keynoted	'key-not-ed
keynotes	'key-notes
keynoting	'key-not-ing
keypunch	'key-punch
keypunches	'key-punch-es
key-ring	'key-ring
key-rings	'key-rings
keys	'keys
key signature	'key-"sig-na-ture
key signatures	'key-"sig-na-tures
keystone	'key-stone
keystones	'key-stones
keys up	"keys-'up
key up	"key-'up
khaki	'khak-i
Khalka	'Khal-ka
khan	'khan
khans	'khans
Khmer	'Khmer
kibbutz	kib-'butz
kibbutzes	kib-'butz-es
kibbutzim	kib-but-'zim
kibbutznik	kib-'butz-nik
kibbutzniks	kib-'butz-niks
kibosh	'ki-bosh
kick	'kick
kick about	'kick-a-"bout
kick around	'kick-a-"round
kickback	'kick-back
kickbacks	'kick-backs
kicked	'kicked
kicked about	'kicked-a-"bout
kicked around	'kicked-a-"round
kicked out	"kicked-'out
kicked up	"kicked-'up
kicker	'kick-er
kickers	'kick-ers
kicking	'kick-ing
kicking about	'kick-ing-a-"bout
kicking around	'kick-ing-a-"round
kicking out	"kick-ing-'out
kicking up	"kick-ing-'up
kickoff	'kick-off
kickoffs	'kick-offs
kick out	"kick-'out
kicks	'kicks
kicks about	'kicks-a-"bout
kicks around	'kicks-a-"round
kicks out	"kicks-'out
kick-start	'kick-start
kick-starter	'kick-"start-er
kick-starters	'kick-"start-ers
kick-starts	'kick-starts
kicks up	"kicks-'up
kick up	"kick-'up
kid	'kid
kidded	'kid-ded
kidder	'kid-der
kidders	'kid-ders
kiddies	'kid-dies
kidding	'kid-ding
kiddy	'kid-dy
kid-glove	'kid-glove
kid gloves	"kid-'gloves
kidnap	'kid-nap
kidnapped	'kid-napped
kidnapper	'kid-nap-per
kidnappers	'kid-nap-pers
kidnapping	'kid-nap-ping
kidnaps	'kid-naps
kidney	'kid-ney
kidney-bean	'kid-ney-bean
kidney-beans	'kid-ney-beans
kidney machine	'kid-ney-ma-"chine
kidney machines	'kid-ney-ma-"chines
kidneys	'kid-neys
kidney shaped	'kid-ney-shaped
kids	'kids
kike	'kike
kikes	'kikes
kill	'kill
killed	'killed
killer	'kill-er
killers	'kill-ers
killer whale	"kill-er-'whale
killer whales	"kill-er-'whales
killing	'kill-ing
killingly	'kill-ing-ly
killjoy	'kill-joy
killjoys	'kill-joys
kills	'kills
kiln	'kiln
kilner jar	'kiln-er-jar
Kilner jar	'Kiln-er-jar
kilner jars	'kiln-er-jars
kilns	'kilns
kilo	'kil-o
kilocycle	'kil-o-"cy-cle
kilocycles	'kil-o-"cy-cles
kilogram	'kil-o-gram
kilograms	'kil-o-grams
kilohertz	'kil-o-hertz
kilolitre	'kil-o-"li-tre
kilolitres	'kil-o-"li-tres
kilometre	'kil-o-"me-tre
kilometres	'kil-o-"me-tres
kilos	'kil-os
kilowatt	'kil-o-watt
kilowatts	'kil-o-watts
kilt	'kilt
kilted regiment	'kilt-ed-"reg-i-ment
kilted regiments	'kilt-ed-"reg-i-ments
kilts	'kilts
kimono	ki-'mo-no
kimonos	ki-'mo-nos
kin	'kin
kind	'kind
kinda	'kind-a
kinder	'kind-er
kindergarten	'kin-der-"gar-ten
kindergartens	'kin-der-"gart-ens
kindest	'kind-est
kind-hearted	"kind-'heart-ed
kind-heartedly	"kind-'heart-ed-ly
kind-heartedness	"kind-'heart-ed-ness
kindle	'kin-dle
kindled	'kin-dled
kindles	'kin-dles
kindliest	'kind-li-est
kindliness	'kind-li-ness
kindly	'kind-ly
kindness	'kind-ness
kindnesses	'kind-ness-es
kind of	'kind-of
kindred	'kin-dred
kinds	'kinds
kinetic	ki-'net-ic
kinetically	ki-'net-i-cal-ly
kinetic art	ki-"net-ic-'art
kinetic energy	ki-"net-ic-'en-er-gy
kinetics	ki-'net-ics
kinfolk	'kin-folk
king	'king
kingcup	'king-cup
kingcups	'king-cups
kingdom	'king-dom
kingdoms	'king-doms
kingfisher	'king-"fish-er
kingfishers	'king-"fish-ers
King James Version	King-"James-'Ver-sion
kingliest	'king-li-est
kinglike	'king-like
kingly	'king-ly
kingmaker	'king-"mak-er
kingmakers	'king-"mak-ers
king pair	"king-'pair
king pairs	"king-'pairs
kingpin	'king-pin
kingpins	'king-pins
kings	'kings
Kings	'Kings
King's Bench	"King's-'Bench
King's Bench Division	"King's-'Bench-Di-"vi-sion
King's Counsel	"King's-'Coun-sel
King's English	"King's-'Eng-lish
king's evidence	"king's-'ev-i-dence
king's evil	"king's-'e-vil
kingship	'king-ship
king-size	'king-size
king-sized	'king-sized
kink	'kink
kinked	'kinked
kinkiest	'kink-i-est
kinking	'kink-ing
kinks	'kinks
kinky	'kink-y
kinsfolk	'kins-folk
kinship	'kin-ship
kinsman	'kins-man
kinsmen	'kins-men
kinswoman	'kins-"wom-an
kinswomen	'kins-"wom-en
kiosk	'ki-osk
kiosks	'ki-osks
kip	'kip
kipped	'kipped
kipper	'kip-per
kippered herring	"kip-pered-'her-ring
kippered herrings	"kip-pered-'her-rings
kippers	'kip-pers
kipping	'kip-ping
kips	'kips
kirk	'kirk
Kirk	'Kirk
kirks	'kirks
kirsch	'kirsch
kirtle	'kir-tle
kirtles	'kir-tles
kismet	'kis-met
kiss	'kiss
kissable	'kiss-a-ble
kissed	'kissed
kisser	'kiss-er
kissers	'kiss-ers
kisses	'kiss-es
kissing	'kiss-ing
kit	'kit
kit-bag	'kit-bag
kit-bags	'kit-bags
kitchen	'kitch-en
kitchenette	"kitch-en-'ette
kitchenettes	"kitch-en-'ettes
kitchen garden	"kitch-en-'gar-den
kitchen gardens	"kitch-en-'gar-dens
kitchen maid	'kitch-en-maid
kitchen maids	'kitch-en-maids
kitchens	'kitch-ens
kitchen-sink drama	"kitch-en-'sink-"dra-ma
kitchen-sink dramas	"kitch-en-'sink-"dra-mas
kite	'kite
kite-balloon	'kite-bal-"loon
kite-balloons	'kite-bal-"loons
kites	'kites
kith and kin	"kith-and-'kin
kit out	"kit-'out
kits	'kits
kitsch	'kitsch
kitschiest	'kitsch-i-est
kitschy	'kitsch-y
kits out	"kits-'out
kits up	"kits-'up
kitted out	"kit-ted-'out
kitted up	"kit-ted-'up
kitten	'kit-ten
kittenish	'kit-ten-ish
kittens	'kit-tens
kitties	'kit-ties
kitting out	"kit-ting-'out
kitting up	"kit-ting-'up
kittiwake	'kit-ti-wake
kittiwakes	'kit-ti-wakes
kitty	'kit-ty
kit up	"kit-'up
kiwi	'ki-wi
kiwis	'ki-wis
klaxon	'klax-on
klaxons	'klax-ons
Kleenex	'Kleen-ex
Kleenexes	'Kleen-ex-es
kleptomaniac	"klep-to-'ma-ni-ac
kleptomaniacs	"klep-to-'ma-ni-acs
knack	'knack
knacker	'knack-er
knackered	'knack-ered
knackers	'knack-ers
knacker's yard	'knack-er's-yard
knacker's yards	'knack-er's-yards
knacks	'knacks
knap	'knap
knapped	'knapped
knapping	'knap-ping
knaps	'knaps
knapsack	'knap-sack
knapsacks	'knap-sacks
knave	'knave
knaveries	'knav-er-ies
knavery	'knav-er-y
knaves	'knaves
knavish	'knav-ish
knavishly	'knav-ish-ly
knavishness	'knav-ish-ness
knead	'knead
kneaded	'knead-ed
kneading	'knead-ing
kneads	'kneads
knee	'knee
knee-breeches	'knee-"breech-es
kneecap	'knee-cap
kneecapped	'knee-capped
kneecapping	'knee-cap-ping
kneecaps	'knee-caps
kneed	'kneed
knee-deep	"knee-'deep
knee-high	"knee-'high
kneeing	'knee-ing
kneel	'kneel
kneeled	'kneeled
kneeling	'kneel-ing
kneels	'kneels
knees	'knees
knell	'knell
knelt	'knelt
Knesset	'Knes-set
knew	'knew
knew about	'knew-a-"bout
knew better	"knew-'bet-ter
knew from	'knew-from
knew of	'knew-of
knickerbockers	'knick-er-bock-ers
knickers	'knick-ers
knick-knack	'knick-knack
knick-knacks	'knick-knacks
knife	'knife
knifed	'knifed
knife-edge	'knife-edge
knife-edges	'knife-edg-es
knifes	'knifes
knifing	'knif-ing
knight	'knight
knighted	'knight-ed
knight-errant	"knight-'er-rant
knighthood	'knight-hood
knighthoods	'knight-hoods
knighting	'knight-ing
knightliest	'knight-li-est
knightly	'knight-ly
knights	'knights
knights-errant	"knights-'er-rant
knit	'knit
knits	'knits
knits up	"knits-'up
knitted	'knit-ted
knitted up	"knit-ted-'up
knitter	'knit-ter
knitters	'knit-ters
knitting	'knit-ting
knitting-machine	'knit-ting-ma-"chine
knitting-machines	'knit-ting-ma-"chines
knitting-needle	'knit-ting-"nee-dle
knitting-needles	'knit-ting-"nee-dles
knitting up	"knit-ting-'up
knit up	"knit-'up
knitwear	'knit-wear
knives	'knives
knob	'knob
knobbiest	'knob-bi-est
knobble	'knob-ble
knobbles	'knob-bles
knobblier	'knob-bli-er
knobby	'knob-by
knobkerrie	'knob-ker-rie
knobkerries	'knob-ker-ries
knobs	'knobs
knock	'knock
knock about	'knock-a-"bout
knockabout	'knock-a-bout
knock around	'knock-a-"round
knock back	"knock-'back
knockdown	"knock-'down
knock down	"knock-'down
knockdowns	"knock-'downs
knocked	'knocked
knocked about	'knocked-a-"bout
knocked around	'knocked-a-"round
knocked back	"knocked-'back
knocked down	"knocked-'down
knocked forward	"knocked-'for-ward
knocked into	'knocked-"in-to
knocked off	"knocked-'off
knocked on	"knocked-'on
knocked out	"knocked-'out
knocked together	"knocked-to-'geth-er
knocked up	"knocked-'up
knocker	'knock-er
knockers	'knock-ers
knock-forward	"knock-'for-ward
knock forward	"knock-'for-ward
knock-forwards	"knock-'for-wards
knocking	'knock-ing
knocking about	'knock-ing-a-"bout
knocking around	'knock-ing-a-"round
knocking back	"knock-ing-'back
knocking down	"knock-ing-'down
knocking forward	"knock-ing-'for-ward
knocking into	'knock-ing-"in-to
knocking off	"knock-ing-'off
knocking on	"knock-ing-'on
knocking out	"knock-ing-'out
knocking together	"knock-ing-to-'geth-er
knocking up	"knock-ing-'up
knock into	'knock-"in-to
knock-kneed	"knock-'kneed
knock off	"knock-'off
knock-on	"knock-'on
knock on	"knock-'on
knock-ons	"knock-'ons
knockout	'knock-out
knock out	"knock-'out
knock-out	'knock-out
knockouts	'knock-outs
knocks	'knocks
knocks about	'knocks-a-"bout
knocks around	'knocks-a-"round
knocks back	"knocks-'back
knocks down	"knocks-'down
knocks forward	"knocks-'for-ward
knocks into	'knocks-"in-to
knocks off	"knocks-'off
knocks on	"knocks-'on
knocks out	"knocks-'out
knocks together	"knocks-to-'geth-er
knocks up	"knocks-'up
knock together	"knock-to-'geth-er
knock-up	'knock-up
knock up	"knock-'up
knock-ups	'knock-ups
knoll	'knoll
knolls	'knolls
knot	'knot
knothole	'knot-hole
knotholes	'knot-holes
knots	'knots
knotted	'knot-ted
knottiest	'knot-ti-est
knotting	'knot-ting
knotty	'knot-ty
knout	'knout
knouts	'knouts
know	'know
know about	'know-a-"bout
know better	"know-'bet-ter
know from	'know-from
know-how	'know-how
knowing	'know-ing
knowing about	'know-ing-a-"bout
knowing better	"know-ing-'bet-ter
knowing from	'know-ing-from
knowingly	'know-ing-ly
knowing of	'know-ing-of
know-it-all	'know-it-all
know-it-alls	'know-it-alls
knowledge	'knowl-edge
knowledgeable	'knowl-edge-a-ble
knowledgeably	'knowl-edge-a-bly
known	'known
known about	'known-a-"bout
known better	"known-'bet-ter
known from	'known-from
known of	'known-of
know of	'know-of
knows	'knows
knows about	'knows-a-"bout
knows better	"knows-'bet-ter
knows from	'knows-from
knows of	'knows-of
knuckle	'knuck-le
knuckled down	"knuck-led-'down
knuckle down	"knuck-le-'down
knuckled under	"knuck-led-'un-der
knuckle-duster	'knuck-le-"dust-er
knuckle-dusters	'knuck-le-"dust-ers
knuckles	'knuck-les
knuckles down	"knuck-les-'down
knuckles under	"knuck-les-'un-der
knuckle under	"knuck-le-'un-der
knuckling down	"knuck-ling-'down
knuckling under	"knuck-ling-'un-der
koala	ko-'a-la
koala bear	ko-"a-la-'bear
koala bears	ko-"a-la-'bears
koalas	ko-'a-las
kobo	'ko-bo
kobos	'ko-bos
kohl	'kohl
kohlrabi	"kohl-'ra-bi
kohlrabis	"kohl-'ra-bis
kola	'ko-la
kola-nut	'ko-la-nut
kola-nuts	'ko-la-nuts
kolas	'ko-las
kookaburra	'kook-a-"bur-ra
kookaburras	'koo-ka-"bur-ras
kopje	'kop-je
kopjes	'kop-jes
Koran	Ko-'ran
Koranic	Ko-'ran-ic
Korans	Ko-'rans
kosher	'ko-sher
kotow	"ko-'tow
kotowed	"ko-'towed
kotowing	"ko-'tow-ing
kotows	"ko-'tows
kowtow	"kow-'tow
kowtowed	"kow-'towed
kowtowing	"kow-'tow-ing
kowtows	"kow-'tows
kraal	'kraal
kraals	'kraals
Kremlin	'Krem-lin
kris	'kris
krisses	'kris-ses
krona	'kro-na
krone	'kro-ne
kroner	'kro-ner
kronor	'kro-nor
k's	'k's
Kt	'Kt
kudos	'ku-dos
Ku Klux Klan	"Ku-Klux-'Klan
kukri	'kuk-ri
kukris	'kuk-ris
kumis	'ku-mis
kumquat	'kum-quat
kumquats	'kum-quats
kung fu	"kung-'fu
Kuomintang	"Kuo-min-'tang
kurus	ku-'rus
Kuwait	Ku-'wait
Kuwaiti	Ku-'wai-ti
Kuwaitis	Ku-'wai-tis
kvass	'kvass
kwacha	'kwa-cha
kwachas	'kwa-chas
kwashiorkor	"kwash-i-'or-kor
kwela	'kwe-la
kyrie	'ky-ri-e
l	'l
L	'L
la	'la
laager	'laa-ger
laagers	'laa-gers
lab	'lab
Lab	'Lab
label	'la-bel
labelled	'la-belled
labels	'la-bels
laboratories	lab-'o-ra-to-ries
laboratory	lab-'o-ra-to-ry
labour	'la-bour
Labour	'La-bour
Labour Day	'La-bour-Day
Labour Days	'La-bour-Days
laboured	'la-boured
laboured under	'la-boured-"un-der
labourer	'la-bour-er
labourers	'la-bour-ers
labour exchange	'la-bour-ex-"change
labour exchanges	'la-bour-ex-"chang-es
labouring	'la-bour-ing
labouring classes	"la-bour-ing-'class-es
labouring under	'la-bour-ing-"un-der
Labourite	'La-bour-ite
Labourites	'La-bour-ites
labour market	'la-bour-"mar-ket
labour of love	"la-bour-of-'love
Labour party	'La-bour-"par-ty
labours	'la-bours
labour-saving	'la-bour-"sav-ing
labours of love	"la-bours-of-'love
labours under	'la-bours-"un-der
labour under	'la-bour-"un-der
labour union	'la-bour-"un-ion
labour unions	'la-bour-"un-ions
Labrador	'Lab-ra-dor
Labrador retriever	"Lab-ra-dor-re-'triev-er
Labrador retrievers	"Lab-ra-dor-re-'triev-ers
Labradors	'Lab-ra-dors
labs	'labs
laburnum	la-'bur-num
laburnums	la-'bur-nums
labyrinth	"lab-y-'rinth
labyrinthine	"lab-y-'rin-thine
labyrinths	"lab-y-'rinths
lace	'lace
laced	'laced
laced into	'laced-"in-to
lace into	'lace-"in-to
lacerate	'lac-er-ate
lacerated	'lac-er-at-ed
lacerates	'lac-er-ates
lacerating	'lac-er-at-ing
laceration	"lac-er-'a-tion
lacerations	"lac-er-'a-tions
laces	'lac-es
laces into	'lac-es-"in-to
lachrymal	'lach-ry-mal
lachrymose	'lach-ry-mose
laciest	'lac-i-est
lacing	'lac-ing
lacing into	'lac-ing-"in-to
lack	'lack
lackadaisical	"lack-a-'dai-si-cal
lackadaisically	"lack-a-'dai-si-cal-ly
lacked	'lacked
lacked for	'lacked-for
lackey	'lack-ey
lackeys	'lack-eys
lack for	'lack-for
lacking	'lack-ing
lacking for	'lack-ing-for
lacklustre	'lack-"lus-tre
lacks	'lacks
lacks for	'lacks-for
laconic	la-'con-ic
laconical	la-'con-i-cal
laconically	la-'con-i-cal-ly
lacquer	'lac-quer
lacquered	'lac-quered
lacquering	'lac-quer-ing
lacquers	'lac-quers
lacrosse	la-'crosse
lactate	'lac-tate
lactated	'lac-tat-ed
lactates	'lac-tates
lactating	'lac-tat-ing
lactation	lac-'ta-tion
lactic	'lac-tic
lactic acid	"lac-tic-'ac-id
lactose	'lac-tose
lacuna	la-'cu-na
lacunae	la-'cu-nae
lacunas	la-'cu-nas
lacy	'lac-y
lad	'lad
ladder	'lad-der
laddered	'lad-dered
laddering	'lad-der-ing
ladder-proof	'lad-der-proof
ladders	'lad-ders
laddie	'lad-die
laddies	'lad-dies
lade	'lade
laded	'lad-ed
laden	'lad-en
lades	'lades
la-di-da	"la-di-'da
ladies	'la-dies
Ladies	'La-dies
ladies-in-waiting	"la-dies-in-'wait-ing
ladies' man	'la-dies'-man
ladies' men	'la-dies'-men
Ladies' room	'La-dies'-room
Ladies' rooms	'La-dies'-rooms
lading	'lad-ing
ladle	'la-dle
ladled	'la-dled
ladled out	"la-dled-'out
ladle out	"la-dle-'out
ladles	'la-dles
ladles out	"la-dles-'out
lads	'lads
lady	'la-dy
Lady	'La-dy
ladybird	'la-dy-bird
ladybirds	'la-dy-birds
ladybug	'la-dy-bug
ladybugs	'la-dy-bugs
Lady-chapel	'La-dy-"chap-el
Lady-chapels	'La-dy-"chap-els
lady-in-waiting	"la-dy-in-'wait-ing
lady-killer	'la-dy-"kill-er
lady-killers	'la-dy-"kill-ers
ladylike	'la-dy-like
ladyship	'la-dy-ship
ladyships	'la-dy-ships
lady's-maid	'la-dy's-maid
lady's-maids	'la-dy's-maids
lady's man	'la-dy's-man
lady's men	'la-dy's-men
lag	'lag
lager	'la-ger
lagers	'la-gers
laggard	'lag-gard
laggards	'lag-gards
lagged	'lagged
lagging	'lag-ging
lagoon	la-'goon
lagoons	la-'goons
lags	'lags
lah-di-dah	"lah-di-'dah
laic	'la-ic
laicize	'la-i-cize
laicized	'la-i-cized
laicizes	'la-i-ciz-es
laicizing	'la-i-ciz-ing
laid	'laid
laid about	'laid-a-"bout
laid aside	"laid-a-'side
laid at	'laid-at
laid by	"laid-'by
laid down	"laid-'down
laid flat	"laid-'flat
laid in	"laid-'in
laid into	'laid-"in-to
laid low	"laid-'low
laid off	'laid-off
laid on	'laid-on
laid open	"laid-'o-pen
laid out	"laid-'out
laid over	"laid-'o-ver
laid to	"laid-'to
laid up	"laid-'up
laid waste	"laid-'waste
lain	'lain
lain about	"lain-a-'bout
lain behind	'lain-be-"hind
lain down	"lain-'down
lain in	'lain-in
lain off	"lain-'off
lain over	"lain-'o-ver
lain to	"lain-'to
lain up	"lain-'up
lain with	'lain-with
lair	'lair
laird	'laird
lairds	'lairds
lairs	'lairs
laissez-faire	"lais-sez-'faire
laity	'la-i-ty
lake	'lake
lakes	'lakes
lakh	'lakh
lakhs	'lakhs
lam	'lam
lama	'la-ma
lamas	'la-mas
lamaseries	'la-ma-ser-ies
lamasery	'la-ma-ser-y
lamb	'lamb
lambast	lam-'bast
lambaste	lam-'baste
lambasted	lam-'bast-ed
lambastes	lam-'bastes
lambasting	lam-'bast-ing
lambasts	lam-'basts
lambed	'lambed
lambency	'lam-ben-cy
lambent	'lam-bent
lambing	'lamb-ing
lambkin	'lamb-kin
lambkins	'lamb-kins
lamblike	'lamb-like
lambs	'lambs
lambskin	'lamb-skin
lambskins	'lamb-skins
lame	'lame
lamed	'lamed
lame duck	"lame-'duck
lame ducks	"lame-'ducks
lamely	'lame-ly
lameness	'lame-ness
lament	la-'ment
lamentable	'lam-en-ta-ble
lamentably	'lam-en-ta-bly
lamentation	"lam-en-'ta-tion
lamentations	"lam-en-'ta-tions
lamented	la-'ment-ed
lamenting	la-'ment-ing
laments	la-'ments
lamer	'lam-er
lames	'lames
lamest	'lam-est
laminate	'lam-i-nate
laminated	'lam-i-nat-ed
laminates	'lam-i-nates
laminating	'lam-i-nat-ing
laming	'lam-ing
lam into	'lam-"in-to
Lammas	'Lam-mas
Lammases	'Lam-mas-es
lammed	'lammed
lammed into	'lammed-"in-to
lamming	'lam-ming
lamming into	'lam-ming-"in-to
lammings	'lam-mings
lamp	'lamp
lamp-black	'lamp-black
lamplight	'lamp-light
lamplighter	'lamp-"light-er
lamplighters	'lamp-"light-ers
lampoon	lam-'poon
lampooned	lam-'pooned
lampooning	lam-'poon-ing
lampoonist	lam-'poon-ist
lampoonists	lam-'poon-ists
lampoons	lam-'poons
lamppost	'lamp-post
lampposts	'lamp-posts
lamprey	'lam-prey
lampreys	'lam-preys
lamps	'lamps
lampshade	'lamp-shade
lampshades	'lamp-shades
lams	'lams
lams into	'lams-"in-to
lance	'lance
lance-corporal	"lance-'cor-po-ral
lance-corporals	"lance-'cor-po-rals
lanced	'lanced
lancer	'lanc-er
lancers	'lanc-ers
lances	'lanc-es
lancet	'lan-cet
lancets	'lan-cets
lancing	'lanc-ing
land	'land
land-agent	'land-"a-gent
land-agents	'land-"a-gents
land armies	'land-"ar-mies
land army	'land-"ar-my
landau	'lan-dau
landaus	'lan-daus
land breeze	'land-breeze
land breezes	'land-breez-es
land crab	'land-crab
land crabs	'land-crabs
landed	'land-ed
landfall	'land-fall
landfalls	'land-falls
landgrave	'land-grave
landgraves	'land-graves
landholder	'land-"hold-er
landholders	'land-"hold-ers
landing	'land-ing
landing-craft	'land-ing-craft
landing-field	'land-ing-field
landing-fields	'land-ing-fields
landing-gear	'land-ing-gear
landing-net	'land-ing-net
landing-nets	'land-ing-nets
landing-parties	'land-ing-"par-ties
landing-party	'land-ing-"par-ty
landing-place	'land-ing-place
landing-places	'land-ing-plac-es
landings	'land-ings
landing-stage	'land-ing-stage
landing-stages	'land-ing-stag-es
landing-strip	'land-ing-strip
landing-strips	'land-ing-strips
landladies	'land-"la-dies
landlady	'land-"la-dy
landless	'land-less
landlocked	'land-locked
landlord	'land-lord
landlords	'land-lords
landlubber	'land-"lub-ber
landlubberly	'land-"lub-ber-ly
landlubbers	'land-"lub-bers
landmark	'land-mark
landmarks	'land-marks
landmine	'land-mine
landmines	'land-mines
landowner	'land-"ow-ner
landowners	'land-"own-ers
land rover	'land-"rov-er
Landrover	'Land-"rov-er
land rovers	'land-"rov-ers
lands	'lands
landscape	'land-scape
landscaped	'land-scaped
landscapes	'land-scapes
landscaping	'land-scap-ing
landslide	'land-slide
landslides	'land-slides
landslip	'land-slip
landslips	'land-slips
landsman	'lands-man
landsmen	'lands-men
landward	'land-ward
landwards	'land-wards
lane	'lane
lanes	'lanes
Lang	'Lang
langsyne	"lang-'syne
language	'lan-guage
language laboratories	'lan-guage-lab-"o-ra-to-ries
language laboratory	'lan-guage-lab-"o-ra-to-ry
languages	'lan-guag-es
languid	'lan-guid
languidly	'lan-guid-ly
languish	'lan-guish
languished	'lan-guished
languishes	'lan-guish-es
languishing	'lan-guish-ing
languor	'lan-guor
languorous	'lan-guor-ous
languorously	'lan-guor-ous-ly
langur	'lan-gur
langurs	'lan-gurs
lank	'lank
lankiest	'lank-i-est
lankily	'lank-i-ly
lankiness	'lank-i-ness
lankly	'lank-ly
lankness	'lank-ness
lanky	'lank-y
lanolin	'lan-o-lin
lantern	'lan-tern
